0	x	y
인천광역시 부평구 장제로 421	126.73257318399361	37.523324060106894
인천광역시 부평구 장제로373번길 22-15	126.73057006689345	37.51914607419001
인천광역시 부평구 주부토로280번길 18-6	126.7291487671462	37.51929419152384
인천광역시 부평구 장제로381번길 14	126.73159016833414	37.51984036523164
인천광역시 부평구 부평대로 228	126.72113661151725	37.511689118138214
인천광역시 부평구 평천로 370	126.73139921876864	37.51756940941675
인천광역시 부평구 장제로329번길 38	126.72975448492541	37.51444098598092
인천광역시 부평구 장제로351번길 16		
인천광역시 부평구 평천로 312	126.72500747551369	37.517143844628656
인천광역시 부평구 평천로 326	126.72640400112004	37.51757596415619
인천광역시 부평구 평천로 310-1	126.72485780752623	37.51724080416001
인천광역시 부평구 평천로306번길 13-30	126.72511545357145	37.51607731093296
인천광역시 부평구 평천로306번길 13-36	126.72526046227473	37.51601638025312
인천광역시 부평구 평천로306번길 13-18	126.72483443154876	37.516213608727
인천광역시 부평구 부평대로276번길 40-1	126.72282714244922	37.51455467749868
인천광역시 부평구 부평대로276번길 60-1	126.72344950008521	37.51387497937638
인천광역시 부평구 부평대로260번길 29	126.72299623731485	37.51409736557538
인천광역시 부평구 굴포로5번길 14	126.72212864345012	37.512581645512306
인천광역시 부평구 부평대로260번길 37-1	126.72328244438738	37.51378088399349
인천광역시 부평구 부평대로276번길 28-5	126.72232347747844	37.51494633100021
인천광역시 부평구 부평대로276번길 28-9	126.72219706052101	37.51487395365386
인천광역시 부평구 굴포로7번길 16	126.72229628256602	37.51251716765813
인천광역시 부평구 부평대로278번길 28-5	126.72288652639878	37.51562520610399
인천광역시 부평구 부평대로276번길 35-5	126.72307358797758	37.515203976349326
인천광역시 부평구 부평대로260번길 19	126.72250660322416	37.51436651664082
인천광역시 부평구 부평대로276번길 56-1	126.72334048950711	37.51399005225663
인천광역시 부평구 부평대로260번길 4	126.7216645832809	37.51449427962558
인천광역시 부평구 부평대로260번길 12	126.72206740244204	37.514455584114295
인천광역시 부평구 굴포로7번길 8	126.72214324507983	37.512304171412715
인천광역시 부평구 부평대로276번길 28-11	126.72207515486804	37.51480519079123
인천광역시 부평구 부평대로260번길 25-1	126.72288721239227	37.51421604200244
인천광역시 부평구 부평대로276번길 44-1	126.72293618128583	37.51443239716282
인천광역시 부평구 부평대로260번길 6	126.7218048933795	37.51448019415873
인천광역시 부평구 부평대로260번길 33-1	126.723177958062	37.513895967324466
인천광역시 부평구 부평대로276번길 32	126.72268078771481	37.5149796064952
인천광역시 부평구 부평대로276번길 31	126.72297820153426	37.51530466479021
인천광역시 부평구 부평대로260번길 21-1	126.72276912499896	37.51433830106043
인천광역시 부평구 부평대로276번길 28-3	126.72244989468044	37.515018708211336
인천광역시 부평구 부평대로276번길 24-1	126.72229097845843	37.515169702857335
인천광역시 부평구 장제로 277	126.73124811647479	37.51049800676711
인천광역시 부평구 굴포로 74	126.72938065913837	37.51146322106154
인천광역시 부평구 굴포로 88	126.73116802587975	37.51138441034831
인천광역시 부평구 길주로 지하527	126.72085774246696	37.50760511901552
인천광역시 부평구 수변로10번길 36-27	126.7413828076153	37.48675214701799
인천광역시 부평구 경인로 1089-5	126.74085909104322	37.48648430176133
인천광역시 부평구 경인로 1089-6	126.74097204713792	37.486516985671145
인천광역시 부평구 수변로10번길 36-11	126.74162739551424	37.48664816548835
인천광역시 부평구 경인로 1091-9	126.74108948874552	37.486560491371975
인천광역시 부평구 경인로 1087	126.74067392099843	37.4864082109821
인천광역시 부평구 수변로 4-6	126.73962807232127	37.486723064792045
인천광역시 부평구 경인로1083번길 43	126.74082556747187	37.48833309179321
인천광역시 부평구 경인로1083번길 13	126.74034185405017	37.48695889715792
인천광역시 부평구 경인로 1081	126.7399948012592	37.48661214771121
인천광역시 부평구 수변로10번길 17	126.74063400130781	37.48748933019776
인천광역시 부평구 경인로 1091-6	126.74143372535829	37.486413480292555
인천광역시 부평구 경인로 1081-1	126.74007196239117	37.486533028988454
인천광역시 부평구 수변로10번길 14	126.7403365329483	37.487189542916994
인천광역시 부평구 수변로9번길 58	126.73635880627667	37.48781143751073
인천광역시 부평구 경인로 1057	126.73731589380952	37.48702068447362
인천광역시 부평구 수변로9번길 11-1	126.7389884353827	37.4872766729145
인천광역시 부평구 경인로 1067	126.73842895641083	37.48688980515677
인천광역시 부평구 경인로1059번길 22	126.73809552458165	37.487826112299075
인천광역시 부평구 수변로19번길 47-1	126.73703073294706	37.48837516241202
인천광역시 부평구 수변로19번길 47	126.73715286214811	37.48837183016534
인천광역시 부평구 수변로19번길 43-1	126.7372704937476	37.48836127974736
인천광역시 부평구 수변로19번길 43	126.73738811269823	37.488354333205784
인천광역시 부평구 수변로15번길 72-6	126.73572336680667	37.488447929663735
인천광역시 부평구 수변로15번길 66-5	126.73583647587871	37.488437370557726
인천광역시 부평구 수변로19번길 29	126.73818424487767	37.48832366396901
인천광역시 부평구 수변로19번길 27	126.73830186369011	37.48831671651714
인천광역시 부평구 수변로19번길 23	126.73842852814663	37.488309788975464
인천광역시 부평구 수변로19번길 21	126.73855068230893	37.4882992472951
인천광역시 부평구 경인로1059번길 5-13	126.73692617864953	37.487236058690456
인천광역시 부평구 수변로9번길 19	126.73836804914075	37.48749514607404
인천광역시 부평구 수변로15번길 21	126.7383302955141	37.48794556523434
인천광역시 부평구 수변로9번길 80-3	126.73495592291374	37.48803895604193
인천광역시 부평구 수변로9번길 7	126.73907867770208	37.48733814062831
인천광역시 부평구 수변로 5-4	126.73910630315162	37.48719764475735
인천광역시 부평구 경인로 1045	126.73602199299921	37.487129525245805
인천광역시 부평구 경인로 1023	126.73347060583092	37.487278769989516
인천광역시 부평구 경인로1023번길 8-1	126.73368699506783	37.48747747916293
인천광역시 부평구 동수로128번길 47-4	126.73512438266297	37.483880291297055
인천광역시 부평구 동수로128번길 53	126.73543685897737	37.48376205861125
인천광역시 부평구 동수로150번길 24	126.73525051849796	37.48402113095472
인천광역시 부평구 동수로150번길 31	126.73557797274844	37.48350288475086
인천광역시 부평구 동수로128번길 56	126.73546426116364	37.483686435455375
인천광역시 부평구 동수로128번길 51	126.7350798187339	37.48369278211739
인천광역시 부평구 동수로128번길 47-6	126.73499727987831	37.48401335517732
인천광역시 부평구 항동로 42-1	126.73779474785495	37.482004946650285
인천광역시 부평구 항동로 34	126.73676717769791	37.48228017173107
인천광역시 부평구 항동로 36	126.73689404692794	37.482211977836
인천광역시 부평구 항동로 36-1	126.7370298976944	37.482161823921444
인천광역시 부평구 항동로 42	126.7377855770055	37.48204096655378
인천광역시 부평구 항동로 36-2	126.73716568515842	37.482129689836675
인천광역시 부평구 항동로 40-1	126.73760048406226	37.481946850965286
인천광역시 부평구 항동로 30-1	126.73659493169008	37.48239151263866
인천광역시 부평구 항동로19번길 34-3	126.73740760245184	37.48278616035365
인천광역시 부평구 항동로19번길 26-1	126.73747499859861	37.48291245100139
인천광역시 부평구 동수로162번길 23	126.7371077934126	37.48445415702249
인천광역시 부평구 항동로19번길 7	126.73631518508468	37.48349372027299
인천광역시 부평구 마분로20번길 10-6	126.73802957325383	37.4846940700593
인천광역시 부평구 동수로162번길 7	126.736747422522	37.4853327364161
인천광역시 부평구 동수로158번길 14	126.73627009903775	37.484740612020026
인천광역시 부평구 항동로 11-1	126.73594201555372	37.48415242331072
인천광역시 부평구 마분로28번길 11-10	126.73759970039504	37.48346414382365
인천광역시 부평구 항동로33번길 25	126.73719657577892	37.48363984504029
인천광역시 부평구 동수로162번길 28	126.73687787390404	37.48424461180805
인천광역시 부평구 항동로 25	126.73648458230447	37.48290664216829
인천광역시 부평구 항동로7번길 44-1	126.73794339181674	37.48476595941759
인천광역시 부평구 마분로28번길 36	126.73644418664345	37.484106692257015
인천광역시 부평구 동수로162번길 33	126.73722615097333	37.48423457484661
인천광역시 부평구 항동로19번길 1	126.73609814112446	37.48348242360551
인천광역시 부평구 항동로33번길 19	126.7371162179369	37.48334053222439
인천광역시 부평구 항동로19번길 17	126.73703490076943	37.48331512309269
인천광역시 부평구 항동로7번길 31	126.7373005994978	37.48493031703639
인천광역시 부평구 항동로19번길 5	126.7362384539133	37.483450300705734
인천광역시 부평구 동수로 170	126.72500489703201	37.488742102684235
인천광역시 부평구 마분로4번길 19	126.73675754268037	37.48502641695883
인천광역시 부평구 항동로19번길 16-5	126.7367103788052	37.48300085020304
인천광역시 부평구 경인로1092번길 17-32	126.74101286954895	37.48517277439301
인천광역시 부평구 경인로 1092-1	126.74116430192107	37.48585066270497
인천광역시 부평구 경인로1104번길 32	126.74175702705392	37.48446441051557
인천광역시 부평구 경인로1092번길 9-1	126.74111575869476	37.485500966055476
인천광역시 부평구 경인로1092번길 31-26	126.74088794072182	37.484678749179125
인천광역시 부평구 동수로 186	126.73914631986028	37.48609490211341
인천광역시 부평구 경인로1104번길 38-39	126.74124361316092	37.483836186935946
인천광역시 부평구 동수로 182-1	126.73883060914112	37.48584192301377
인천광역시 부평구 동수로 174	126.7377001650297	37.485774546297094
인천광역시 부평구 동수로 176-1	126.73798083548452	37.48569948459103
인천광역시 부평구 경인로1084번길 6-5	126.73979863855037	37.48579360258534
인천광역시 부평구 동수로188번길 7-11	126.73975855948805	37.4856133131353
인천광역시 부평구 항동로45번길 39-1	126.73991079367381	37.48344762979491
인천광역시 부평구 마분로 15-9	126.7387660567178	37.48489752610761
인천광역시 부평구 마분로 15-7	126.73863954871051	37.48486120608322
인천광역시 부평구 마분로21번길 4	126.73875943340481	37.484201934804375
인천광역시 부평구 마분로21번길 7	126.7391162038368	37.48435048812071
인천광역시 부평구 동수로188번길 7-5	126.7396214909875	37.48601305773874
인천광역시 부평구 경인로 1062-12	126.73758515673447	37.486329310473025
인천광역시 부평구 경인로1058번길 6	126.7371638499976	37.48652659521981
인천광역시 부평구 경인로 1060-1	126.73769732990579	37.4865854451918
인천광역시 부평구 경인로 1062-13	126.73744085876511	37.486206453104565
인천광역시 부평구 경인로 1062-6	126.73755282953863	37.48652025188082
인천광역시 부평구 경인로1058번길 9	126.73733681130513	37.48621342987928
인천광역시 부평구 경인로1058번길 11	126.7373823159099	37.486134242528905
인천광역시 부평구 경인로1024번길 12-13	126.73302672500043	37.48618935303373
인천광역시 부평구 동수로 145-1	126.73461698573301	37.48540365474477
인천광역시 부평구 동수로 145-3	126.73477071781565	37.48541481202665
인천광역시 부평구 동수로 147-1	126.73491537916247	37.485433156803786
인천광역시 부평구 경인로1032번길 10	126.73452270673718	37.48648464982792
인천광역시 부평구 부평문화로194번길 35	126.7371166580144	37.49224967566856
인천광역시 부평구 동수천로 56-9	126.73592294236745	37.49085586182455
인천광역시 부평구 부평문화로216번길 8	126.7401483794851	37.493197031908686
인천광역시 부평구 수변로 67-13	126.74016064695205	37.492267221924685
인천광역시 부평구 부평문화로 214-1	126.74026553151566	37.493327034212015
인천광역시 부평구 수변로 73	126.7406916906239	37.4930432528713
